Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
AGLQ88,24/05/2018,Call,0.010,21.335,21.335,0.000,0
AGLT88,24/05/2018,Call,16.500,4.845,4.845,0.000,0
AGLT98,24/05/2018,Put,16.500,0.000,0.000,0.000,0
AGLS78,24/05/2018,Call,17.000,4.345,4.345,0.000,0
AGLS88,24/05/2018,Put,17.000,0.000,0.000,0.000,0
AGLMH8,24/05/2018,Call,17.500,3.845,3.845,0.000,0
AGLMI8,24/05/2018,Put,17.500,0.000,0.000,0.000,0
AGLLT8,24/05/2018,Call,18.000,3.345,3.345,0.000,0
AGLLU8,24/05/2018,Put,18.000,0.000,0.000,0.000,0
AGLNS8,24/05/2018,Call,18.010,3.335,3.335,0.000,260
AGLNT8,24/05/2018,Put,18.010,0.000,0.000,0.000,0
AGLL58,24/05/2018,Call,18.500,2.845,2.845,0.000,0
AGLL68,24/05/2018,Put,18.500,0.000,0.000,0.000,64
AGLNU8,24/05/2018,Call,18.510,2.835,2.835,0.000,0
AGLNV8,24/05/2018,Put,18.510,0.000,0.000,0.000,0
AGLKM8,24/05/2018,Call,19.000,2.345,2.345,0.000,0
AGLKN8,24/05/2018,Put,19.000,0.000,0.000,0.000,110
AGLNW8,24/05/2018,Call,19.010,2.335,2.335,0.000,0
AGLNX8,24/05/2018,Put,19.010,0.000,0.000,0.000,200
AGLKK8,24/05/2018,Call,19.500,1.845,1.845,0.000,0
AGLKL8,24/05/2018,Put,19.500,0.001,0.001,0.000,385
AGLNY8,24/05/2018,Call,19.510,1.835,1.835,0.000,0
AGLNZ8,24/05/2018,Put,19.510,0.001,0.001,0.000,0
AGLJ48,24/05/2018,Call,20.000,1.345,1.345,0.000,56
AGLJ58,24/05/2018,Put,20.000,0.006,0.006,0.000,600
AGLP18,24/05/2018,Call,20.010,1.335,1.335,0.000,0
AGLP28,24/05/2018,Put,20.010,0.007,0.007,0.000,125
AGLFM8,24/05/2018,Call,20.500,0.860,0.860,0.000,110
AGLFN8,24/05/2018,Put,20.500,0.035,0.035,0.000,500
AGLN88,24/05/2018,Call,20.510,0.850,0.850,0.000,25
AGLN98,24/05/2018,Put,20.510,0.035,0.035,0.000,422
AGLEQ8,24/05/2018,Call,21.000,0.430,0.430,0.000,294
AGLER8,24/05/2018,Put,21.000,0.130,0.130,0.000,"1,885"
AGLNK8,24/05/2018,Call,21.010,0.425,0.425,0.000,250
AGLNL8,24/05/2018,Put,21.010,0.130,0.130,0.000,220
AGLF58,24/05/2018,Call,21.500,0.150,0.150,0.000,"1,154"
AGLF68,24/05/2018,Put,21.500,0.345,0.345,0.300,428
AGLNM8,24/05/2018,Call,21.510,0.145,0.145,0.000,0
AGLNN8,24/05/2018,Put,21.510,0.350,0.350,0.000,210
AGLES8,24/05/2018,Call,22.000,0.035,0.035,0.000,509
AGLET8,24/05/2018,Put,22.000,0.705,0.705,0.000,841
AGLNO8,24/05/2018,Call,22.010,0.030,0.030,0.000,152
AGLNP8,24/05/2018,Put,22.010,0.715,0.715,0.000,135
AGLF78,24/05/2018,Call,22.500,0.004,0.004,0.000,"1,200"
AGLF88,24/05/2018,Put,22.500,1.165,1.165,0.000,115
AGLMR8,24/05/2018,Call,22.510,0.004,0.004,0.000,0
AGLMS8,24/05/2018,Put,22.510,1.170,1.170,0.000,320
AGLF98,24/05/2018,Call,23.000,0.000,0.000,0.000,94
AGLFF8,24/05/2018,Put,23.000,1.660,1.660,0.000,140
AGLMT8,24/05/2018,Call,23.010,0.000,0.000,0.000,"3,338"
AGLMU8,24/05/2018,Put,23.010,1.665,1.665,0.000,50
AGLF38,24/05/2018,Call,23.500,0.000,0.000,0.000,30
AGLF48,24/05/2018,Put,23.500,2.160,2.160,0.000,0
AGLMV8,24/05/2018,Call,23.510,0.000,0.000,0.000,0
AGLMW8,24/05/2018,Put,23.510,2.160,2.160,0.000,540
AGLFG8,24/05/2018,Call,24.000,0.000,0.000,0.000,285
AGLFH8,24/05/2018,Put,24.000,2.660,2.660,0.000,55
AGLMX8,24/05/2018,Call,24.010,0.000,0.000,0.000,0
AGLMY8,24/05/2018,Put,24.010,2.660,2.660,0.000,240
AGLF18,24/05/2018,Call,24.500,0.000,0.000,0.000,0
AGLF28,24/05/2018,Put,24.500,3.160,3.160,0.000,4
AGLMZ8,24/05/2018,Call,24.510,0.000,0.000,0.000,0
AGLN18,24/05/2018,Put,24.510,3.160,3.160,0.000,550
AGLFI8,24/05/2018,Call,25.000,0.000,0.000,0.000,55
AGLFJ8,24/05/2018,Put,25.000,3.660,3.660,0.000,0
AGLNQ8,24/05/2018,Call,25.010,0.000,0.000,0.000,0
AGLNR8,24/05/2018,Put,25.010,3.660,3.660,0.000,150
AGLEY8,24/05/2018,Call,25.500,0.000,0.000,0.000,0
AGLEZ8,24/05/2018,Put,25.500,4.160,4.160,0.000,0
AGLFK8,24/05/2018,Call,26.000,0.000,0.000,0.000,0
AGLFL8,24/05/2018,Put,26.000,4.660,4.660,0.000,0
AGLEW8,24/05/2018,Call,26.500,0.000,0.000,0.000,12
AGLEX8,24/05/2018,Put,26.500,5.160,5.160,0.000,0
AGLFO8,24/05/2018,Call,27.000,0.000,0.000,0.000,0
AGLFP8,24/05/2018,Put,27.000,5.660,5.660,0.000,0
AGLEU8,24/05/2018,Call,27.500,0.000,0.000,0.000,0
AGLEV8,24/05/2018,Put,27.500,6.160,6.160,0.000,0
AGLFR8,24/05/2018,Call,28.000,0.000,0.000,0.000,0
AGLFS8,24/05/2018,Put,28.000,6.660,6.660,0.000,0
AGLFT8,24/05/2018,Call,28.500,0.000,0.000,0.000,0
AGLFU8,24/05/2018,Put,28.500,7.160,7.160,0.000,0
AGLFV8,24/05/2018,Call,29.000,0.000,0.000,0.000,0
AGLFW8,24/05/2018,Put,29.000,7.660,7.660,0.000,0
AGLGK8,24/05/2018,Call,29.500,0.000,0.000,0.000,0
AGLGL8,24/05/2018,Put,29.500,8.160,8.160,0.000,0
AGLTH7,28/06/2018,Call,0.010,21.375,21.375,0.000,790
AGLTA8,28/06/2018,Call,16.500,4.875,4.875,0.000,0
AGLTB8,28/06/2018,Put,16.500,0.000,0.000,0.000,0
AGLS98,28/06/2018,Call,17.000,4.375,4.375,0.000,0
AGLSA8,28/06/2018,Put,17.000,0.000,0.000,0.000,0
AGLMJ8,28/06/2018,Call,17.500,3.880,3.880,0.000,0
AGLMK8,28/06/2018,Put,17.500,0.001,0.001,0.000,240
AGLWB9,28/06/2018,Call,18.000,3.380,3.380,0.000,0
AGLWC9,28/06/2018,Put,18.000,0.005,0.005,0.000,600
AGLL78,28/06/2018,Call,18.500,2.880,2.880,0.000,0
AGLL88,28/06/2018,Put,18.500,0.015,0.015,0.000,241
AGLWN9,28/06/2018,Call,19.000,2.390,2.390,0.000,0
AGLWO9,28/06/2018,Put,19.000,0.030,0.030,0.000,4
AGLYP7,28/06/2018,Call,19.010,2.380,2.380,0.000,93
AGLYQ7,28/06/2018,Put,19.010,0.035,0.035,0.000,250
AGLXB7,28/06/2018,Call,19.500,1.915,1.915,0.000,0
AGLXC7,28/06/2018,Put,19.500,0.065,0.065,0.000,160
AGLWL9,28/06/2018,Call,20.000,1.465,1.465,0.000,0
AGLWM9,28/06/2018,Put,20.000,0.125,0.125,0.110,225
AGLYR7,28/06/2018,Call,20.010,1.455,1.455,0.000,100
AGLYS7,28/06/2018,Put,20.010,0.125,0.125,0.000,55
AGLVF7,28/06/2018,Call,20.500,1.060,1.060,0.000,0
AGLVG7,28/06/2018,Put,20.500,0.220,0.220,0.000,852
AGLUU8,28/06/2018,Call,20.510,1.050,1.050,0.000,0
AGLUV8,28/06/2018,Put,20.510,0.225,0.225,0.000,0
AGLWH9,28/06/2018,Call,21.000,0.720,0.720,0.000,522
AGLWI9,28/06/2018,Put,21.000,0.380,0.380,0.370,"1,044"
AGLYT7,28/06/2018,Call,21.010,0.710,0.710,0.000,35
AGLYU7,28/06/2018,Put,21.010,0.380,0.380,0.340,"2,745"
AGLTQ7,28/06/2018,Call,21.500,0.455,0.455,0.000,692
AGLTR7,28/06/2018,Put,21.500,0.605,0.605,0.600,785
AGLUW8,28/06/2018,Call,21.510,0.450,0.450,0.000,0
AGLUX8,28/06/2018,Put,21.510,0.610,0.610,0.000,193
AGLWJ9,28/06/2018,Call,22.000,0.265,0.265,0.000,"4,244"
AGLWK9,28/06/2018,Put,22.000,0.910,0.910,0.000,"2,479"
AGLFX8,28/06/2018,Call,22.010,0.260,0.260,0.000,78
AGLFY8,28/06/2018,Put,22.010,0.910,0.910,0.000,539
AGLSW7,28/06/2018,Call,22.500,0.145,0.145,0.000,"2,502"
AGLSX7,28/06/2018,Put,22.500,1.280,1.280,0.000,217
AGLC18,28/06/2018,Call,22.510,0.140,0.140,0.000,237
AGLC28,28/06/2018,Put,22.510,1.280,1.280,0.000,240
AGLW79,28/06/2018,Call,23.000,0.070,0.070,0.100,"13,828"
AGLW89,28/06/2018,Put,23.000,1.705,1.705,0.000,720
AGLC38,28/06/2018,Call,23.010,0.070,0.070,0.000,"2,226"
AGLC48,28/06/2018,Put,23.010,1.700,1.700,0.000,"1,444"
AGLSU7,28/06/2018,Call,23.500,0.030,0.030,0.000,493
AGLSV7,28/06/2018,Put,23.500,2.170,2.170,0.000,455
AGLQF8,28/06/2018,Call,23.510,0.030,0.030,0.000,30
AGLQG8,28/06/2018,Put,23.510,2.155,2.155,0.000,145
AGLW99,28/06/2018,Call,24.000,0.015,0.015,0.000,65
AGLWA9,28/06/2018,Put,24.000,2.660,2.660,0.000,0
AGLQN8,28/06/2018,Call,24.010,0.015,0.015,0.000,0
AGLQO8,28/06/2018,Put,24.010,2.635,2.635,0.000,16
AGLSS7,28/06/2018,Call,24.500,0.005,0.005,0.000,275
AGLST7,28/06/2018,Put,24.500,3.160,3.160,0.000,20
AGLQP8,28/06/2018,Call,24.510,0.005,0.005,0.000,0
AGLQQ8,28/06/2018,Put,24.510,3.125,3.125,0.000,400
AGLWF9,28/06/2018,Call,25.000,0.002,0.002,0.000,"2,018"
AGLWG9,28/06/2018,Put,25.000,3.660,3.660,0.000,0
AGLGO8,28/06/2018,Call,25.010,0.002,0.002,0.000,30
AGLGP8,28/06/2018,Put,25.010,3.620,3.620,0.000,0
AGLSQ7,28/06/2018,Call,25.500,0.000,0.000,0.000,672
AGLSR7,28/06/2018,Put,25.500,4.160,4.160,0.000,0
AGLWD9,28/06/2018,Call,26.000,0.000,0.000,0.000,120
AGLWE9,28/06/2018,Put,26.000,4.660,4.660,0.000,0
AGLSO7,28/06/2018,Call,26.500,0.000,0.000,0.000,0
AGLSP7,28/06/2018,Put,26.500,5.160,5.160,0.000,0
AGLX79,28/06/2018,Call,27.000,0.000,0.000,0.000,208
AGLX89,28/06/2018,Put,27.000,5.660,5.660,0.000,0
AGLSM7,28/06/2018,Call,27.500,0.000,0.000,0.000,0
AGLSN7,28/06/2018,Put,27.500,6.160,6.160,0.000,0
AGLBI7,28/06/2018,Call,28.000,0.000,0.000,0.000,814
AGLBJ7,28/06/2018,Put,28.000,6.660,6.660,0.000,0
AGLSI7,28/06/2018,Call,28.500,0.000,0.000,0.000,0
AGLSJ7,28/06/2018,Put,28.500,7.160,7.160,0.000,0
AGLC47,28/06/2018,Call,29.000,0.000,0.000,0.000,0
AGLC57,28/06/2018,Put,29.000,7.660,7.660,0.000,0
AGLSK7,28/06/2018,Call,29.500,0.000,0.000,0.000,0
AGLSL7,28/06/2018,Put,29.500,8.160,8.160,0.000,0
AGLFX7,28/06/2018,Call,30.000,0.000,0.000,0.000,0
AGLFY7,28/06/2018,Put,30.000,8.660,8.660,0.000,0
AGLJY7,28/06/2018,Call,31.000,0.000,0.000,0.000,0
AGLJZ7,28/06/2018,Put,31.000,9.660,9.660,0.000,0
AGLKT7,28/06/2018,Call,32.000,0.000,0.000,0.000,0
AGLKU7,28/06/2018,Put,32.000,10.660,10.660,0.000,0
AGLUH8,26/07/2018,Call,0.010,21.410,21.410,0.000,0
AGLTC8,26/07/2018,Call,16.500,4.900,4.900,0.000,0
AGLTD8,26/07/2018,Put,16.500,0.001,0.001,0.000,0
AGLSB8,26/07/2018,Call,17.000,4.400,4.400,0.000,0
AGLSC8,26/07/2018,Put,17.000,0.007,0.007,0.000,600
AGLML8,26/07/2018,Call,17.500,3.905,3.905,0.000,0
AGLMM8,26/07/2018,Put,17.500,0.015,0.015,0.000,0
AGLLF8,26/07/2018,Call,18.000,3.410,3.410,0.000,0
AGLLG8,26/07/2018,Put,18.000,0.030,0.030,0.000,100
AGLLH8,26/07/2018,Call,18.010,3.400,3.400,0.000,260
AGLLI8,26/07/2018,Put,18.010,0.030,0.030,0.000,200
AGLL98,26/07/2018,Call,18.500,2.925,2.925,0.000,0
AGLLA8,26/07/2018,Put,18.500,0.050,0.050,0.000,120
AGLKO8,26/07/2018,Call,19.000,2.450,2.450,0.000,0
AGLKP8,26/07/2018,Put,19.000,0.085,0.085,0.000,250
AGLKQ8,26/07/2018,Call,19.500,1.995,1.995,0.000,0
AGLKR8,26/07/2018,Put,19.500,0.140,0.140,0.000,600
AGLKA8,26/07/2018,Call,20.000,1.575,1.575,0.000,0
AGLKB8,26/07/2018,Put,20.000,0.225,0.225,0.205,15
AGLK58,26/07/2018,Call,20.500,1.205,1.205,0.000,0
AGLK68,26/07/2018,Put,20.500,0.350,0.350,0.340,301
AGLJI8,26/07/2018,Call,21.000,0.880,0.880,0.000,100
AGLJJ8,26/07/2018,Put,21.000,0.510,0.510,0.000,830
AGLQV8,26/07/2018,Call,21.010,0.875,0.875,0.000,300
AGLQW8,26/07/2018,Put,21.010,0.515,0.515,0.000,"1,150"
AGLJU8,26/07/2018,Call,21.500,0.620,0.620,0.000,200
AGLJV8,26/07/2018,Put,21.500,0.735,0.735,0.000,200
AGLJK8,26/07/2018,Call,22.000,0.415,0.415,0.000,"3,979"
AGLJL8,26/07/2018,Put,22.000,1.015,1.015,1.020,898
AGLJS8,26/07/2018,Call,22.500,0.265,0.265,0.000,595
AGLJT8,26/07/2018,Put,22.500,1.365,1.365,1.260,57
AGLSP8,26/07/2018,Call,22.510,0.260,0.260,0.000,0
AGLSQ8,26/07/2018,Put,22.510,1.355,1.355,0.000,400
AGLJG8,26/07/2018,Call,23.000,0.160,0.160,0.000,42
AGLJH8,26/07/2018,Put,23.000,1.760,1.760,0.000,0
AGLSR8,26/07/2018,Call,23.010,0.160,0.160,0.000,0
AGLSS8,26/07/2018,Put,23.010,1.745,1.745,0.000,0
AGLJQ8,26/07/2018,Call,23.500,0.095,0.095,0.000,40
AGLJR8,26/07/2018,Put,23.500,2.200,2.200,0.000,0
AGLST8,26/07/2018,Call,23.510,0.095,0.095,0.000,0
AGLSU8,26/07/2018,Put,23.510,2.175,2.175,0.000,0
AGLJE8,26/07/2018,Call,24.000,0.050,0.050,0.000,80
AGLJF8,26/07/2018,Put,24.000,2.670,2.670,0.000,0
AGLSV8,26/07/2018,Call,24.010,0.050,0.050,0.000,0
AGLSW8,26/07/2018,Put,24.010,2.630,2.630,0.000,0
AGLJO8,26/07/2018,Call,24.500,0.025,0.025,0.000,10
AGLJP8,26/07/2018,Put,24.500,3.160,3.160,0.000,0
AGLSX8,26/07/2018,Call,24.510,0.025,0.025,0.000,0
AGLSY8,26/07/2018,Put,24.510,3.105,3.105,0.000,0
AGLK18,26/07/2018,Call,25.000,0.015,0.015,0.000,10
AGLK28,26/07/2018,Put,25.000,3.660,3.660,0.000,0
AGLJW8,26/07/2018,Call,25.500,0.006,0.006,0.000,91
AGLJX8,26/07/2018,Put,25.500,4.160,4.160,0.000,0
AGLK38,26/07/2018,Call,26.000,0.003,0.003,0.000,0
AGLK48,26/07/2018,Put,26.000,4.660,4.660,0.000,0
AGLJY8,26/07/2018,Call,26.500,0.001,0.001,0.000,0
AGLJZ8,26/07/2018,Put,26.500,5.160,5.160,0.000,0
AGLK78,26/07/2018,Call,27.000,0.001,0.001,0.000,0
AGLK88,26/07/2018,Put,27.000,5.660,5.660,0.000,0
AGLJM8,26/07/2018,Call,27.500,0.000,0.000,0.000,0
AGLJN8,26/07/2018,Put,27.500,6.160,6.160,0.000,0
AGLTE8,30/08/2018,Call,16.500,4.925,4.925,0.000,0
AGLTF8,30/08/2018,Put,16.500,0.015,0.015,0.000,600
AGLSD8,30/08/2018,Call,17.000,4.430,4.430,0.000,0
AGLSE8,30/08/2018,Put,17.000,0.035,0.035,0.000,0
AGLQD8,30/08/2018,Call,17.500,3.940,3.940,0.000,0
AGLQE8,30/08/2018,Put,17.500,0.060,0.060,0.000,0
AGLPX8,30/08/2018,Call,18.000,3.455,3.455,0.000,0
AGLPY8,30/08/2018,Put,18.000,0.100,0.100,0.000,0
AGLPZ8,30/08/2018,Call,18.500,2.985,2.985,0.000,0
AGLQ18,30/08/2018,Put,18.500,0.160,0.160,0.000,0
AGLPN8,30/08/2018,Call,19.000,2.535,2.535,0.000,0
AGLPO8,30/08/2018,Put,19.000,0.255,0.255,0.000,130
AGLQ48,30/08/2018,Call,19.500,2.105,2.105,0.000,0
AGLQ58,30/08/2018,Put,19.500,0.375,0.375,0.000,0
AGLPL8,30/08/2018,Call,20.000,1.715,1.715,0.000,0
AGLPM8,30/08/2018,Put,20.000,0.540,0.540,0.000,40
AGLQ68,30/08/2018,Call,20.500,1.360,1.360,0.000,0
AGLQ78,30/08/2018,Put,20.500,0.740,0.740,0.000,150
AGLP78,30/08/2018,Call,21.000,1.055,1.055,0.000,0
AGLP88,30/08/2018,Put,21.000,0.985,0.985,0.000,190
AGLPV8,30/08/2018,Call,21.500,0.800,0.800,0.000,0
AGLPW8,30/08/2018,Put,21.500,1.275,1.275,0.000,605
AGLP98,30/08/2018,Call,22.000,0.590,0.590,0.000,0
AGLPK8,30/08/2018,Put,22.000,1.600,1.600,0.000,135
AGLPT8,30/08/2018,Call,22.500,0.420,0.420,0.000,55
AGLPU8,30/08/2018,Put,22.500,1.965,1.965,0.000,40
AGLP58,30/08/2018,Call,23.000,0.295,0.295,0.000,115
AGLP68,30/08/2018,Put,23.000,2.365,2.365,0.000,0
AGLSJ8,30/08/2018,Call,23.010,0.205,0.205,0.230,0
AGLSK8,30/08/2018,Put,23.010,2.365,2.365,0.000,0
AGLPR8,30/08/2018,Call,23.500,0.200,0.200,0.000,0
AGLPS8,30/08/2018,Put,23.500,2.790,2.790,0.000,0
AGLSL8,30/08/2018,Call,23.510,0.135,0.135,0.000,0
AGLSM8,30/08/2018,Put,23.510,2.790,2.790,0.000,10
AGLP38,30/08/2018,Call,24.000,0.130,0.130,0.000,200
AGLP48,30/08/2018,Put,24.000,3.235,3.235,0.000,0
AGLSN8,30/08/2018,Call,24.010,0.090,0.090,0.000,25
AGLSO8,30/08/2018,Put,24.010,3.240,3.240,0.000,162
AGLPP8,30/08/2018,Call,24.500,0.085,0.085,0.000,0
AGLPQ8,30/08/2018,Put,24.500,3.700,3.700,0.000,0
AGLT48,30/08/2018,Call,24.510,0.060,0.060,0.000,0
AGLT58,30/08/2018,Put,24.510,3.700,3.700,0.000,0
AGLQ28,30/08/2018,Call,25.000,0.055,0.055,0.000,0
AGLQ38,30/08/2018,Put,25.000,4.175,4.175,0.000,0
AGLQB8,30/08/2018,Call,25.500,0.035,0.035,0.000,0
AGLQC8,30/08/2018,Put,25.500,4.655,4.655,0.000,0
AGLUQ8,30/08/2018,Call,26.000,0.020,0.020,0.000,0
AGLUR8,30/08/2018,Put,26.000,5.145,5.145,0.000,0
AGLBR8,27/09/2018,Call,0.010,20.865,20.865,0.000,0
AGLTG8,27/09/2018,Call,16.500,4.930,4.930,0.000,0
AGLTH8,27/09/2018,Put,16.500,0.050,0.050,0.000,0
AGLSF8,27/09/2018,Call,17.000,4.435,4.435,0.000,0
AGLSG8,27/09/2018,Put,17.000,0.080,0.080,0.000,0
AGLMN8,27/09/2018,Call,17.500,3.945,3.945,0.000,0
AGLMO8,27/09/2018,Put,17.500,0.130,0.130,0.000,32
AGLLW8,27/09/2018,Call,18.000,3.465,3.465,0.000,0
AGLLX8,27/09/2018,Put,18.000,0.205,0.205,0.000,0
AGLLB8,27/09/2018,Call,18.500,2.995,2.995,0.000,0
AGLLC8,27/09/2018,Put,18.500,0.300,0.300,0.000,6
AGLX37,27/09/2018,Call,19.000,2.545,2.545,0.000,0
AGLX47,27/09/2018,Put,19.000,0.425,0.425,0.000,700
AGLZX7,27/09/2018,Call,19.500,2.125,2.125,0.000,0
AGLZY7,27/09/2018,Put,19.500,0.585,0.585,0.000,510
AGLU77,27/09/2018,Call,20.000,1.740,1.740,0.000,0
AGLU87,27/09/2018,Put,20.000,0.780,0.780,0.000,4
AGLUY8,27/09/2018,Call,20.010,1.435,1.435,0.000,0
AGLUZ8,27/09/2018,Put,20.010,0.775,0.775,0.000,0
AGLB18,27/09/2018,Call,20.500,1.395,1.395,0.000,0
AGLB28,27/09/2018,Put,20.500,1.005,1.005,0.000,0
AGLSA7,27/09/2018,Call,21.000,1.095,1.095,0.000,47
AGLSB7,27/09/2018,Put,21.000,1.265,1.265,0.000,400
AGLUI8,27/09/2018,Call,21.010,0.895,0.895,0.000,0
AGLUJ8,27/09/2018,Put,21.010,1.200,1.200,0.000,0
AGLZV7,27/09/2018,Call,21.500,0.840,0.840,0.000,0
AGLZW7,27/09/2018,Put,21.500,1.560,1.560,0.000,490
AGLIS7,27/09/2018,Call,22.000,0.630,0.630,0.000,0
AGLIT7,27/09/2018,Put,22.000,1.880,1.880,0.000,230
AGLV18,27/09/2018,Call,22.010,0.520,0.520,0.000,0
AGLV28,27/09/2018,Put,22.010,1.875,1.875,0.000,30
AGLZT7,27/09/2018,Call,22.500,0.465,0.465,0.000,414
AGLZU7,27/09/2018,Put,22.500,2.235,2.235,0.000,5
AGLIK7,27/09/2018,Call,23.000,0.335,0.335,0.000,400
AGLIL7,27/09/2018,Put,23.000,2.610,2.610,0.000,792
AGLZR7,27/09/2018,Call,23.500,0.235,0.235,0.000,370
AGLZS7,27/09/2018,Put,23.500,3.010,3.010,0.000,240
AGLQH8,27/09/2018,Call,23.510,0.200,0.200,0.000,75
AGLQI8,27/09/2018,Put,23.510,2.995,2.995,0.000,10
AGLIM7,27/09/2018,Call,24.000,0.165,0.165,0.000,100
AGLIN7,27/09/2018,Put,24.000,3.425,3.425,0.000,740
AGLKC8,27/09/2018,Call,24.010,0.140,0.140,0.000,15
AGLKD8,27/09/2018,Put,24.010,3.410,3.410,0.000,110
AGLZP7,27/09/2018,Call,24.500,0.110,0.110,0.000,0
AGLZQ7,27/09/2018,Put,24.500,3.860,3.860,0.000,0
AGLKE8,27/09/2018,Call,24.510,0.095,0.095,0.000,0
AGLKF8,27/09/2018,Put,24.510,3.840,3.840,0.000,6
AGLIW7,27/09/2018,Call,25.000,0.075,0.075,0.000,190
AGLIX7,27/09/2018,Put,25.000,4.305,4.305,0.000,24
AGLFZ8,27/09/2018,Call,25.010,0.065,0.065,0.000,80
AGLG18,27/09/2018,Put,25.010,4.285,4.285,0.000,460
AGLZN7,27/09/2018,Call,25.500,0.050,0.050,0.000,103
AGLZO7,27/09/2018,Put,25.500,4.765,4.765,0.000,0
AGLIU7,27/09/2018,Call,26.000,0.030,0.030,0.000,111
AGLIV7,27/09/2018,Put,26.000,5.230,5.230,0.000,0
AGLG28,27/09/2018,Call,26.010,0.030,0.030,0.000,61
AGLG38,27/09/2018,Put,26.010,5.200,5.200,0.000,91
AGLZL7,27/09/2018,Call,26.500,0.020,0.020,0.000,51
AGLZM7,27/09/2018,Put,26.500,5.705,5.705,0.000,0
AGLIY7,27/09/2018,Call,27.000,0.015,0.015,0.000,106
AGLIZ7,27/09/2018,Put,27.000,6.180,6.180,0.000,0
AGLC78,27/09/2018,Call,27.500,0.008,0.008,0.000,0
AGLC88,27/09/2018,Put,27.500,6.665,6.665,0.000,0
AGLJ17,27/09/2018,Call,28.000,0.005,0.005,0.000,54
AGLJ27,27/09/2018,Put,28.000,7.150,7.150,0.000,0
AGLCK8,27/09/2018,Call,28.500,0.003,0.003,0.000,71
AGLCL8,27/09/2018,Put,28.500,7.640,7.640,0.000,0
AGLIQ7,27/09/2018,Call,29.000,0.002,0.002,0.000,71
AGLIR7,27/09/2018,Put,29.000,8.130,8.130,0.000,0
AGLGM8,27/09/2018,Call,29.500,0.001,0.001,0.000,0
AGLGN8,27/09/2018,Put,29.500,8.625,8.625,0.000,0
AGLIO7,27/09/2018,Call,30.000,0.001,0.001,0.000,0
AGLIP7,27/09/2018,Put,30.000,9.120,9.120,0.000,0
AGLK17,27/09/2018,Call,31.000,0.000,0.000,0.000,0
AGLK27,27/09/2018,Put,31.000,10.110,10.110,0.000,0
AGLKV7,27/09/2018,Call,32.000,0.000,0.000,0.000,0
AGLKW7,27/09/2018,Put,32.000,11.100,11.100,0.000,0
AGLU98,25/10/2018,Call,17.500,3.945,3.945,0.000,0
AGLUA8,25/10/2018,Put,17.500,0.090,0.090,0.000,0
AGLU78,25/10/2018,Call,18.000,3.460,3.460,0.000,0
AGLU88,25/10/2018,Put,18.000,0.150,0.150,0.000,0
AGLUB8,25/10/2018,Call,18.500,2.990,2.990,0.000,0
AGLUC8,25/10/2018,Put,18.500,0.230,0.230,0.000,0
AGLTW8,25/10/2018,Call,19.000,2.545,2.545,0.000,0
AGLTX8,25/10/2018,Put,19.000,0.335,0.335,0.000,10
AGLUD8,25/10/2018,Call,19.500,2.125,2.125,0.000,0
AGLUE8,25/10/2018,Put,19.500,0.480,0.480,0.000,0
AGLTU8,25/10/2018,Call,20.000,1.740,1.740,0.000,0
AGLTV8,25/10/2018,Put,20.000,0.655,0.655,0.000,0
AGLUF8,25/10/2018,Call,20.500,1.395,1.395,0.000,0
AGLUG8,25/10/2018,Put,20.500,0.870,0.870,0.000,0
AGLTQ8,25/10/2018,Call,21.000,1.100,1.100,0.000,0
AGLTR8,25/10/2018,Put,21.000,1.120,1.120,0.000,0
AGLU58,25/10/2018,Call,21.500,0.850,0.850,0.000,0
AGLU68,25/10/2018,Put,21.500,1.410,1.410,0.000,0
AGLTS8,25/10/2018,Call,22.000,0.645,0.645,0.000,20
AGLTT8,25/10/2018,Put,22.000,1.735,1.735,0.000,5
AGLU38,25/10/2018,Call,22.500,0.480,0.480,0.000,0
AGLU48,25/10/2018,Put,22.500,2.090,2.090,0.000,0
AGLTO8,25/10/2018,Call,23.000,0.350,0.350,0.000,0
AGLTP8,25/10/2018,Put,23.000,2.470,2.470,0.000,0
AGLU18,25/10/2018,Call,23.500,0.250,0.250,0.000,350
AGLU28,25/10/2018,Put,23.500,2.880,2.880,0.000,0
AGLTM8,25/10/2018,Call,24.000,0.180,0.180,0.000,0
AGLTN8,25/10/2018,Put,24.000,3.315,3.315,0.000,0
AGLTY8,25/10/2018,Call,24.500,0.125,0.125,0.000,0
AGLTZ8,25/10/2018,Put,24.500,3.760,3.760,0.000,0
AGLUK8,25/10/2018,Call,25.000,0.085,0.085,0.000,0
AGLUL8,25/10/2018,Put,25.000,4.220,4.220,0.000,0
AGLUM8,25/10/2018,Call,25.500,0.060,0.060,0.000,0
AGLUN8,25/10/2018,Put,25.500,4.690,4.690,0.000,0
AGLUS8,25/10/2018,Call,26.000,0.040,0.040,0.000,0
AGLUT8,25/10/2018,Put,26.000,5.165,5.165,0.000,0
AGLIS8,20/12/2018,Call,0.010,20.970,20.970,0.000,0
AGLTI8,20/12/2018,Call,16.500,4.940,4.940,0.000,0
AGLTJ8,20/12/2018,Put,16.500,0.130,0.130,0.000,0
AGLSH8,20/12/2018,Call,17.000,4.455,4.455,0.000,0
AGLSI8,20/12/2018,Put,17.000,0.185,0.185,0.000,0
AGLMP8,20/12/2018,Call,17.500,3.985,3.985,0.000,0
