Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
NABBO7,27/06/2019,Put,22.000,0.375,0.375,0.000,0
NABBP7,27/06/2019,Call,23.000,4.925,4.925,0.000,0
NABBQ7,27/06/2019,Put,23.000,0.585,0.585,0.000,0
NABBX7,27/06/2019,Call,24.000,4.040,4.040,0.000,2
NABBY7,27/06/2019,Put,24.000,0.865,0.865,0.000,0
NABBZ7,27/06/2019,Call,25.000,3.215,3.215,0.000,0
NABC17,27/06/2019,Put,25.000,1.215,1.215,0.000,"6,000"
NABBI7,27/06/2019,Call,26.000,2.465,2.465,0.000,0
NABBJ7,27/06/2019,Put,26.000,1.630,1.630,0.000,0
NABBK7,27/06/2019,Call,27.000,1.825,1.825,0.000,4
NABBL7,27/06/2019,Put,27.000,2.120,2.120,0.000,11
NABBR7,27/06/2019,Call,28.000,1.305,1.305,0.000,156
NABBS7,27/06/2019,Put,28.000,2.700,2.700,0.000,10
NABBT7,27/06/2019,Call,29.000,0.910,0.910,0.000,"1,400"
NABBU7,27/06/2019,Put,29.000,3.375,3.375,0.000,20
NABBV7,27/06/2019,Call,30.000,0.620,0.620,0.000,100
NABBW7,27/06/2019,Put,30.000,4.125,4.125,0.000,280
NABFW7,27/06/2019,Call,31.000,0.415,0.415,0.000,"1,350"
NABFX7,27/06/2019,Put,31.000,4.965,4.965,0.000,0
NABIH7,27/06/2019,Call,32.000,0.275,0.275,0.000,0
NABII7,27/06/2019,Put,32.000,5.870,5.870,0.000,1
NABIF8,27/06/2019,Call,33.000,0.180,0.180,0.000,0
NABIG8,27/06/2019,Put,33.000,6.815,6.815,0.000,0
NABQ28,27/06/2019,Call,34.000,0.120,0.120,0.000,0
NABQ38,27/06/2019,Put,34.000,7.785,7.785,0.000,0
NABWR8,27/06/2019,Call,35.000,0.075,0.075,0.000,0
NABWS8,27/06/2019,Put,35.000,8.760,8.760,0.000,0
NABFJ9,27/06/2019,Call,36.000,0.050,0.050,0.000,0
NABFK9,27/06/2019,Put,36.000,9.740,9.740,0.000,0
NABEX7,27/06/2019,Call,37.000,0.030,0.030,0.000,0
NABEY7,27/06/2019,Put,37.000,10.720,10.720,0.000,0
NABC48,27/06/2019,Call,38.000,0.020,0.020,0.000,0
